query_table,query_value,candidate_table,candidate_value
soccerleague_left,hampshire premier league,soccerleague_right,hampshire premier football league
christianbishop_left,andrew james louis brennan,christianbishop_right,andrew brennan (bishop)
legislature_left,chavakachcheri urban council,legislature_right,chavakacheri urban council
case_left,mutual film corporation v. industrial commission of ohio,case_right,mutual film corp. v. industrial commission of ohio
governmentagency_left,washington department of natural resources,governmentagency_right,washington state department of natural resources
historicbuilding_left,st. mary church (helminghausen),historicbuilding_right,"st. mary's church, helminghausen"
monarch_left,shirvanshah ali ii,monarch_right,ali ii of shirvan
museum_left,azerbaijan state museum of history,museum_right,national museum of history of azerbaijan
historicbuilding_left,st. james anglican church (newport beach),historicbuilding_right,st. james anglican church
hospital_left,indiana university hospital,hospital_right,iu health university hospital
televisionstation_left,fox sports networks,televisionstation_right,fox sports net
memberofparliament_left,james bradfield,memberofparliament_right,jim bradfield
legislature_left,national assembly (bhutan),legislature_right,national assembly of bhutan
reptile_left,northern redbelly snake,reptile_right,northern redbelly snake
museum_left,satria mandala museum,museum_right,satriamandala museum
railwayline_left,kolkata metro line 1,railwayline_right,"line 1, kolkata metro"
venue_left,united palace theater,venue_right,united palace
reptile_left,tenerife speckled lizard,reptile_right,tenerife speckled lizard
tournament_left,1995 uefa european under-16 football championship,tournament_right,1995 uefa european under-16 championship
magazine_left,icon (magazine),magazine_right,icon magazine
historicbuilding_left,"st. andrew's church, langar",historicbuilding_right,"st andrew's church, langar"
magazine_left,tilllate,magazine_right,tilllate magazine
race_left,settimana internazionale di coppi e bartali,race_right,settimana internazionale di coppi e bartali
race_left,le tour de filipinas,race_right,tour de filipinas
legislature_left,city council of cincinnati elections,legislature_right,"city council of cincinnati, ohio elections"
railwayline_left,ravenswood branch,railwayline_right,ravenswood branch
footballmatch_left,2008 international rules series,footballmatch_right,2008 international rules series
reptile_left,greater green snake,reptile_right,greater green snake
unitofwork_left,takahashi v. fish and game commission,unitofwork_right,takahashi v. fish & game commission
award_left,apsara award for best actor in a comic role,award_right,producers guild film award for best actor in a comic role
soccertournament_left,2011 ofc beach soccer championship,soccertournament_right,2011 fifa beach soccer world cup qualification (ofc)
motorsportseason_left,2011 continental tire sports car challenge season,motorsportseason_right,2011 continental tire sports car challenge
amphibian_left,mink frog,amphibian_right,mink frog
historicbuilding_left,"st. casimir parish, terryville",historicbuilding_right,"st. casimir parish,terryville"
ethnicgroup_left,indian diaspora in east africa,ethnicgroup_right,indian diaspora in southeast africa
christianbishop_left,kenneth mackenzie (bishop of argyll and the isles),christianbishop_right,kenneth mackenzie (bishop of argyll and the isles)
soccerleague_left,northern new south wales football league division two,soccerleague_right,northern nsw state league division 1
noble_left,"christopher i, margrave of baden-baden",noble_right,"christoph i, margrave of baden-baden"
amphibian_left,peaks of otter salamander,amphibian_right,peaks of otter salamander
stadium_left,bowman field (stadium),stadium_right,susquehanna bank park at historic bowman field
artwork_left,the chess players,artwork_right,the chess players (eakins painting)
ethnicgroup_left,nepalese canadian,ethnicgroup_right,nepalese canadians
governmentagency_left,"federal department of economic affairs, education and research",governmentagency_right,federal department of economic affairs
reptile_left,middle american indigo snake,reptile_right,middle american indigo snake
naturalevent_left,1940 new hampshire earthquake,naturalevent_right,1940 new hampshire earthquakes
basketballteam_left,bc prienai,basketballteam_right,bc rå«dupis
sportsleague_left,yugoslav basketball league,sportsleague_right,yugoslav first federal basketball league
case_left,ex parte bain,case_right,ex parte bain
wrestler_left,melanie cruise,wrestler_right,melanie cruise (wrestler)
venue_left,"orpheum theatre (memphis, tennessee)",venue_right,orpheum theatre (memphis)
televisionstation_left,cnn airport network,televisionstation_right,cnn airport
case_left,anza v. ideal steel supply corporation,case_right,anza v. ideal steel supply corp.
case_left,securities and exchange commission v. chenery corporation (1947),case_right,sec v. chenery corp. (1947)
soccerclubseason_left,2010 australia national football team season,soccerclubseason_right,2010 australia national soccer team season
device_left,ruger single six,device_right,ruger single-six
legislature_left,national assembly (democratic republic of the congo),legislature_right,national assembly of the democratic republic of the congo
venue_left,dynamo samarkand stadium,venue_right,dinamo samarkand stadium
motorsportseason_left,2011 nascar corona series season,motorsportseason_right,2011 nascar corona series
noble_left,"peter of luxembourg, count of saint-pol",noble_right,peter i of luxembourg
reptile_left,common butterfly lizard,reptile_right,common butterfly lizard
venue_left,stadio di corsi sebastopoli,venue_right,stadio di corso sebastopoli
shoppingmall_left,hamilton place (shopping mall),shoppingmall_right,hamilton place
case_left,turner broadcasting v. federal communications commission,case_right,"turner broadcasting system, inc. v. fcc"
noble_left,anna lubomirska (d. 1763),noble_right,anna lubomirska (died 1763)
amphibian_left,cape river frog,amphibian_right,cape river frog
sportsleague_left,fivb world cup,sportsleague_right,fivb volleyball world cup
motorsportseason_left,1998 international sports racing series season,motorsportseason_right,1998 international sports racing series
footballmatch_left,hungary vs el salvador (1982),footballmatch_right,hungary v el salvador (1982 fifa world cup)
memberofparliament_left,lionel beaumont thomas,memberofparliament_right,lionel beaumont-thomas
amphibian_left,copper-backed brood frog,amphibian_right,copper-backed brood frog
case_left,"cuomo v. clearing house association, l. l. c.",case_right,"cuomo v. clearing house ass'n, l.l.c."
amphibian_left,tyler's toadlet,amphibian_right,tyler's toadlet
reptile_left,setaro's dwarf chameleon,reptile_right,setaro's dwarf chameleon
motorsportseason_left,1963 united states road racing championship season,motorsportseason_right,1963 united states road racing championship
basketballteam_left,icbs bc,basketballteam_right,peramatos ermis b.c.
reptile_left,armenian lizard,reptile_right,armenian rock lizard
unitofwork_left,pacific gas & electric v. public utilities commission,unitofwork_right,pacific gas & electric co. v. public utilities commission
legislature_left,national assembly (azerbaijan),legislature_right,national assembly of azerbaijan
reptile_left,lancelin island skink,reptile_right,lancelin island skink
amphibian_left,cabalian frog,amphibian_right,cabalian frog
amphibian_left,ringed salamander,amphibian_right,ringed salamander
footballmatch_left,2012 conference national play-off final,footballmatch_right,2012 conference premier play-off final
award_left,sapir prize for literature,award_right,sapir prize
legislature_left,national assembly (cape verde),legislature_right,national assembly of cape verde
ethnicgroup_left,iranian kuwaitis,ethnicgroup_right,expatriates in kuwait
stadium_left,"victory park, chorley",stadium_right,victory park (chorley)
song_left,spanish fly (song),song_right,spanish fly (instrumental)
award_left,2009 grammy awards,award_right,51st grammy awards
motorsportseason_left,2004 world rally championship season,motorsportseason_right,2004 world rally championship
givenname_left,sania,givenname_right,sania (disambiguation)
memberofparliament_left,john cusack (australian politician),memberofparliament_right,john cusack (politician)
governmentagency_left,ministry of telecommunications,governmentagency_right,ministry of information technology and telecommunication (pakistan)
legislature_left,house of commons (south korea),legislature_right,house of commons of south korea
unitofwork_left,faragher v. city of boca raton,unitofwork_right,faragher v. boca raton
governmentagency_left,women national committee (yemen),governmentagency_right,yemeni women's national committee
stadium_left,varsity field (albany baseball),stadium_right,"varsity field (albany, new york)"
motorsportseason_left,2008 nascar canadian tire series season,motorsportseason_right,2008 nascar canadian tire series
governmentagency_left,federal ministry of interior (federation of bosnia and herzegovina),governmentagency_right,federal ministry of interior
sportsleague_left,naia national women's outdoor track and field championship,sportsleague_right,naia women's outdoor track and field championship
footballleagueseason_left,soviet second league b 1990,footballleagueseason_right,"1990 soviet lower second league, zone 1"
soccertournament_left,1964 uefa european under-18 football championship,soccertournament_right,1964 uefa european under-18 championship
magazine_left,film magazine,magazine_right,film magazine (magazine)
venue_left,tower theatre (salt lake city),venue_right,"tower theatre (salt lake city, utah)"
case_left,"goodyear dunlop tires operations, s. a. v. brown",case_right,"goodyear dunlop tires operations, s.a. v. brown"
hospital_left,medstar montgomery medical center,hospital_right,montgomery general hospital
museum_left,royal academy of arts,museum_right,royal academy
tennistournament_left,2012 atp challenger trophy,tennistournament_right,2012 arimex challenger trophy
device_left,gm high feature engine,device_right,general motors high feature engine
sportsleague_left,gomtv global starcraft ii league,sportsleague_right,gomtv global starcraft ii league
memberofparliament_left,"john maples, baron maples",memberofparliament_right,john maples
basketballteam_left,logan thunder,basketballteam_right,logan thunder (wnbl)
election_left,"philippine local election, 1899",election_right,"philippine local elections, 1899"
legislature_left,supreme council (kyrgyzstan),legislature_right,supreme council of kyrgyzstan
magazine_left,'47,magazine_right,'47 (magazine)
amphibian_left,hose's frog,amphibian_right,hose's frog
railwayline_left,daegu metro line 1,railwayline_right,daegu subway line 1
railwayline_left,keihan ishiyama sakamoto line,railwayline_right,ishiyama sakamoto line
footballleagueseason_left,2013 swedish football division 1,footballleagueseason_right,2013 division 1 (swedish football)
soccerleague_left,professional indoor football league (2012),soccerleague_right,professional indoor football league
sportsleague_left,central australian basketball league,sportsleague_right,premier league (australia)
magazine_left,men's health (magazine),magazine_right,men's health
basketballteam_left,dumbarton dodgers basketball club,basketballteam_right,dumbarton dodgers
basketballteam_left,olympias patras b.c.,basketballteam_right,olympiada patras bc
magazine_left,open magazine,magazine_right,open (north dakota magazine)
award_left,apsara award for best actor in a comic role,award_right,star guild award for best actor in a comic role
case_left,solid waste agency of northern cook cty. v. army corps of engineers,case_right,solid waste agency of northern cook county v. army corps of engineers
magazine_left,hotdog magazine,magazine_right,hotdog (magazine)
award_left,2009 brit awards,award_right,2009 brit awards
reptile_left,ocellated gecko,reptile_right,ocellated gecko
amphibian_left,mottled tree frog,amphibian_right,mottled tree frog
election_left,"elections to the madrid assembly, 2011",election_right,"madrilenian parliamentary election, 2011"
governmentagency_left,ministry of communications and information technologies (azerbaijan),governmentagency_right,ministry of communications and high technologies (azerbaijan)
legislature_left,25th alberta legislative assembly,legislature_right,25th alberta legislature
basketballteam_left,gymnastikos s. larissas,basketballteam_right,gymnastikos s. larissas b.c.
device_left,terradyne armored vehicles inc. gurkha,device_right,terradyne armored vehicles gurkha
givenname_left,kalina (given name),givenname_right,kalina (name)
ethnicgroup_left,welsh american,ethnicgroup_right,welsh americans
election_left,"scottish local regional elections, 1982",election_right,"scottish regional elections, 1982"
artwork_left,bust of thomas baker (bernini),artwork_right,bust of thomas baker
legislature_left,national people's assembly (guinea-bissau),legislature_right,national people's assembly of guinea-bissau
award_left,the da vinci medallion,award_right,da vinci medallion
legislature_left,arizona state legislature,legislature_right,arizona legislature
sportfacility_left,new seoul ballpark,sportfacility_right,gocheok sky dome
governmentagency_left,provincial emergency program (british columbia),governmentagency_right,emergency management bc
sportsleague_left,v.league (vietnam),sportsleague_right,v.league 1
venue_left,estadio corona (1970),venue_right,corona stadium (1970)
artificialsatellite_left,proba-2,artificialsatellite_right,proba2
soccerclubseason_left,2012 daejeon citizen season,soccerclubseason_right,2012 daejeon citizen fc season
clericaladministrativeregion_left,st. thomas syro-malabar catholic diocese of chicago,clericaladministrativeregion_right,st. thomas syro-malabar catholic eparchy of chicago
soccertournament_left,1986 uefa european under-18 football championship,soccertournament_right,1986 uefa european under-18 championship
christianbishop_left,mark davies (bishop of shrewsbury),christianbishop_right,mark davies (bishop of shrewsbury)
basketballteam_left,zamalek (basketball club),basketballteam_right,zamalek (basketball)
amphibian_left,valley and ridge salamander,amphibian_right,valley and ridge salamander
wrestler_left,"chavo guerrero, sr.",wrestler_right,chavo guerrero sr.
award_left,cyprus civil society awards,award_right,cyprus civil society awards
motorsportseason_left,2010 all-japan formula three season,motorsportseason_right,2010 all-japan formula three championship
legislature_left,national assembly (south korea),legislature_right,national assembly of south korea
amphibian_left,tasmanian tree frog,amphibian_right,tasmanian tree frog
ethnicgroup_left,asian australian,ethnicgroup_right,asian australians
election_left,"chilean presidential election, 1932",election_right,"chilean general election, 1932"
sportsleague_left,nsw premier league,sportsleague_right,national premier leagues nsw
governmentagency_left,department of environment and heritage protection (queensland),governmentagency_right,department of environment and resource management
soccertournament_left,2003 uefa european under-17 football championship,soccertournament_right,2003 uefa european under-17 championship
magazine_left,playstation magazine,magazine_right,playstation magazine (italy)
christianbishop_left,claude frikart,christianbishop_right,claude henri edouard frikart
tennistournament_left,1997 bell challenge,tennistournament_right,1997 challenge bell
unitofwork_left,minerals separation v. hyde,unitofwork_right,"minerals separation, ltd. v. hyde"
race_left,t j smith stakes,race_right,tj smith stakes
railwayline_left,gwangju subway line 1,railwayline_right,gwangju metro line 1
song_left,wedding bells (song),song_right,wedding bells (jonas brothers song)
reptile_left,wedge-snouted skink,reptile_right,wedge-snouted skink
shoppingmall_left,westfield chicago ridge,shoppingmall_right,chicago ridge mall
reptile_left,rodrigues giant day gecko,reptile_right,rodrigues giant day gecko
shoppingmall_left,castletown shoppingworld,shoppingmall_right,castletown shoppingworld
sportfacility_left,varsity field (albany baseball),sportfacility_right,"varsity field (albany, new york)"
venue_left,rustaveli cinema,venue_right,rustaveli cinema
race_left,uci track cycling world cup classics,race_right,uci track cycling world cup
shoppingmall_left,auburn mall,shoppingmall_right,"auburn mall (auburn, massachusetts)"
monarch_left,kavan tissa of ruhuna,monarch_right,"kavan tissa, prince of ruhuna"
railwayline_left,lynx silver line,railwayline_right,lynx silver line
historicbuilding_left,"st. john cathedral (fresno, california)",historicbuilding_right,"saint john the baptist cathedral (fresno, california)"
noble_left,catherine of schwarzburg-blankenburg,noble_right,katharina of schwarzburg-blankenburg
wrestler_left,jaden (wrestler),wrestler_right,jaden
soccerleague_left,swedish football division 2,soccerleague_right,swedish football division 2
case_left,united states v. thompson-center arms company,case_right,united states v. thompson-center arms co.
historicbuilding_left,"st. james's church, east cowes",historicbuilding_right,"st james's church, east cowes"
motorsportseason_left,1997 world rally championship season,motorsportseason_right,1997 world rally championship
historicbuilding_left,"st. audoen's church, dublin",historicbuilding_right,"st. audoen's church, dublin (church of ireland)"
artwork_left,st bibiana (bernini),artwork_right,saint bibiana (bernini)
song_left,eternally (song),song_right,eternally (hikaru utada song)
reptile_left,japanese rat snake,reptile_right,japanese rat snake
reptile_left,two-striped garter snake,reptile_right,two-striped garter snake
reptile_left,navassa curly-tailed lizard,reptile_right,navassa curly-tailed lizard
motorsportseason_left,1985 world rally championship season,motorsportseason_right,1985 world rally championship
memberofparliament_left,james drake (politician),memberofparliament_right,james drake (queensland politician)
historicbuilding_left,"st. peter and st. paul's cathedral, tallinn",historicbuilding_right,"st peter and st paul's cathedral, tallinn"
award_left,1996 grammy awards,award_right,38th annual grammy awards
governmentagency_left,ministry of religious affairs (burma),governmentagency_right,ministry of religious affairs (myanmar)
song_left,only people (song),song_right,only people
case_left,capitol square review and advisory board v. pinette,case_right,capitol square review & advisory board v. pinette
artwork_left,the falconer sculpture,artwork_right,the falconer (simonds)
ethnicgroup_left,belarusian american,ethnicgroup_right,belarusian americans
soccerclubseason_left,2002 australia national football team season,soccerclubseason_right,2002 australia national soccer team season
reptile_left,allison's anole,reptile_right,allison's anole
governmentagency_left,"department of trade and investment, regional infrastructure and services (new south wales)",governmentagency_right,"department of industry, skills and regional development (new south wales)"
magazine_left,safari magazine,magazine_right,safari (magazine)
clericaladministrativeregion_left,karimnagar diocese,clericaladministrativeregion_right,diocese of karimnagar of the church of south india
amphibian_left,cape mountain toad,amphibian_right,cape mountain toad
stadium_left,estadio jalisco,stadium_right,jalisco stadium
historicbuilding_left,"st. mary's church, dublin",historicbuilding_right,"st mary's church, mary street, dublin"
sportfacility_left,lg champions park,sportfacility_right,lg champion's park
ethnicgroup_left,laotian australian,ethnicgroup_right,laotian australians
song_left,boys (the shirelles song),song_right,boys (shirelles song)
legislature_left,bradford city council,legislature_right,city of bradford metropolitan district council
soccertournament_left,2003 african under-17 championship,soccertournament_right,2003 african u-17 championship
basketballteam_left,maccabi raanana,basketballteam_right,maccabi ra'anana
historicbuilding_left,first baptist church (dallas),historicbuilding_right,"first baptist church (dallas, texas)"
sportsleague_left,2. liga (slovakia),sportsleague_right,i liga (slovakia)
ethnicgroup_left,austrian brazilian,ethnicgroup_right,austrian brazilians
railwayline_left,line d (buenos aires metro),railwayline_right,line d (buenos aires underground)
soccertournament_left,1980 uefa european under-21 football championship,soccertournament_right,1980 uefa european under-21 championship
sportfacility_left,"municipal auditorium (kansas city, missouri)",sportfacility_right,municipal auditorium (kansas city)
amphibian_left,marbled newt,amphibian_right,marbled newt
givenname_left,michelle (given name),givenname_right,michelle (name)
memberofparliament_left,william bird (uk politician),memberofparliament_right,william bird (chichester mp)
enzyme_left,3-keto-steroid reductase,enzyme_right,3-ketosteroid reductase
election_left,"cambodian parliamentary election, 1958",election_right,"cambodian general election, 1958"
motorsportseason_left,2007 eurocup formula renault 2.0 season,motorsportseason_right,2007 eurocup formula renault 2.0
tennistournament_left,1998 bell challenge,tennistournament_right,1998 challenge bell
magazine_left,black sea security (journal),magazine_right,black sea security
ethnicgroup_left,swiss argentine,ethnicgroup_right,swiss argentines
amphibian_left,brown tree frog,amphibian_right,southern brown tree frog
stadium_left,"memorial stadium, asheville",stadium_right,memorial stadium (asheville)
award_left,guldbagge award,award_right,guldbagge awards
case_left,"baldwin v. g. a. f. seelig, inc.",case_right,"baldwin v. g.a.f. seelig, inc."
soccertournament_left,2009 uefa european under-19 football championship,soccertournament_right,2009 uefa european under-19 championship
soccerclubseason_left,2012 woodlands wellington season,soccerclubseason_right,2012 woodlands wellington fc season
tennistournament_left,2013 challenger banque nationale,tennistournament_right,2013 challenger banque nationale de rimouski
legislature_left,national assembly (benin),legislature_right,national assembly of benin
case_left,securities and exchange commission v. chenery corporation (1943),case_right,sec v. chenery corp. (1943)
memberofparliament_left,"paul mercier (politician, st. henri)",memberofparliament_right,paul mercier (liberal mp)
christianbishop_left,patriarch sophronius i of constantinople,christianbishop_right,sophronius i of constantinople
footballleagueseason_left,2008 j. league division 1,footballleagueseason_right,2008 j.league division 1
case_left,klaxon company v. stentor electric manufacturing company,case_right,klaxon co. v. stentor electric manufacturing co.
sportfacility_left,hiroshima prefectural gymnasium,sportfacility_right,hiroshima prefectural sports center
reptile_left,hispaniolan green anole,reptile_right,hispaniolan green anole
soccerleague_left,bangladesh premier league (football),soccerleague_right,bangladesh football premier league
artwork_left,captain nathan hale (statue),artwork_right,captain nathan hale
unitofwork_left,st. mary's honor center v. hicks,unitofwork_right,st. mary's honor ctr. v. hicks
case_left,veazie bank v. fenno,case_right,veazie banks v. fenno
case_left,"board of governors, frs v. investment company institute",case_right,"board of governors, frs v. investment co. institute"
politicalparty_left,croatian labour party,politicalparty_right,croatian workers party
venue_left,globe theatre (stockton-on-tees),venue_right,"globe theatre, stockton-on-tees"
clericaladministrativeregion_left,st. thomas syro-malabar catholic diocese of chicago,clericaladministrativeregion_right,syro-malabar catholic eparchy of st. thomas of chicago
soccerleague_left,stroud and district football league,soccerleague_right,stroud and district league
monarch_left,muhammed ii shirvanshah,monarch_right,muhammad ii shirvanshah
historicbuilding_left,"st. audoen's church, dublin",historicbuilding_right,st. audoen's church
case_left,"ransom v. fia card services, n. a.",case_right,"ransom v. fia card services, n.a."
railwayline_left,"line 4, changchun light rail transit",railwayline_right,"line 4, changchun rail transit"
memberofparliament_left,james drake (politician),memberofparliament_right,james drake
election_left,"washington state senate elections, 2008",election_right,"washington state senate election, 2008"
venue_left,colonial theatre (boston),venue_right,"colonial theatre (boston, massachusetts)"
ethnicgroup_left,guatemalan american,ethnicgroup_right,guatemalan americans
tournament_left,2015 south american youth championship,tournament_right,2015 south american youth football championship
case_left,united states v. wheeler,case_right,united states v. wheeler (1920)
governmentagency_left,"department of premier and cabinet, queensland",governmentagency_right,department of the premier and cabinet (queensland)
ethnicgroup_left,uruguayan american,ethnicgroup_right,uruguayan americans
monarch_left,maravarman rajasimha ii,monarch_right,maravarman rajasimha iii
motorsportseason_left,2013 european rallycross championship season,motorsportseason_right,2013 european rallycross championship
amphibian_left,santa barbara moss salamander,amphibian_right,santa barbara moss salamander
soccertournament_left,2012 uefa women's u-19 championship,soccertournament_right,2012 uefa women's under-19 championship
case_left,federal trade commission v. colgate-palmolive company,case_right,ftc v. colgate-palmolive co.
hospital_left,ben taub general hospital,hospital_right,ben taub hospital
amphibian_left,longdong stream salamander,amphibian_right,longdong stream salamander
clericaladministrativeregion_left,apostolic exarchate of serbia and montenegro,clericaladministrativeregion_right,byzantine catholic apostolic exarchate of serbia
footballleagueseason_left,2011 j. league division 2,footballleagueseason_right,2011 j.league division 2
naturalevent_left,2010 kaohsiung earthquakes,naturalevent_right,2010 kaohsiung earthquake
sportsleague_left,west cheshire association football league,sportsleague_right,west cheshire amateur football league
hospital_left,carolinas medical center-pineville,hospital_right,carolinas healthcare system pineville
reptile_left,korat supple skink,reptile_right,korat supple skink
governmentagency_left,bangladesh election commission,governmentagency_right,election commission bangladesh
award_left,2009 grammy awards,award_right,51st annual grammy awards
motorsportseason_left,2008 world touring car championship season,motorsportseason_right,2008 world touring car championship
motorsportseason_left,1997 fia gt championship season,motorsportseason_right,1997 fia gt championship
venue_left,ciudad deportiva de abegondo,venue_right,cidade deportiva de abegondo
country_left,qin dynasty,country_right,qin dynasty
sportfacility_left,neapolis arena,sportfacility_right,larissa neapolis indoor arena
motorsportseason_left,1983 world rally championship season,motorsportseason_right,1983 world rally championship
shoppingmall_left,cross county plaza,shoppingmall_right,cross county mall
venue_left,gaiety theatre (new york),venue_right,gaiety theatre (new york city)
legislature_left,national council (namibia),legislature_right,national council of namibia
governmentagency_left,ministry of industry and foreign trade (egypt),governmentagency_right,"ministry of industry, trade and investment (egypt)"
case_left,taylor v. standard gas and electric company,case_right,taylor v. standard gas & electric co.
ethnicgroup_left,dutch australian,ethnicgroup_right,dutch australians
motorsportseason_left,2006 eurocup formula renault 2.0 season,motorsportseason_right,2006 eurocup formula renault 2.0
soccerleague_left,nsw state league division two,soccerleague_right,nsw state league division 2
basketballteam_left,kuwait sc (basketball),basketballteam_right,al kuwait sc (basketball)
amphibian_left,douglas' toad,amphibian_right,douglas' toad
noble_left,andronikos komnenos (son of john ii),noble_right,andronikos komnenos (son of john ii komnenos)
rugbyleague_left,foru oceania cup,rugbyleague_right,oceania rugby cup
election_left,"republic of china municipal elections, 2002",election_right,"taiwanese municipal elections, 2002"
shoppingmall_left,spires shopping centre,shoppingmall_right,the spires shopping centre
soccerclubseason_left,2004 australia national football team season,soccerclubseason_right,2004 australia national soccer team season
stadium_left,fedexfield,stadium_right,fedex field
historicbuilding_left,"st. stephen's cathedral (owensboro, kentucky)",historicbuilding_right,"st. stephen cathedral (owensboro, kentucky)"
reptile_left,switak's banded gecko,reptile_right,switak's banded gecko
soccertournament_left,1955 uefa european under-18 football championship,soccertournament_right,1955 uefa european under-18 championship
basketballteam_left,chang thailand slammers,basketballteam_right,hi-tech bangkok city
ethnicgroup_left,history of the jews in burma,ethnicgroup_right,history of the jews in myanmar
footballleagueseason_left,jordan league 2001,footballleagueseason_right,2001 jordan league
reptile_left,ringed spinytail iguana,reptile_right,ringed spinytail iguana
basketballteam_left,nuova amg sebastiani basket napoli,basketballteam_right,nuova amg sebastiani basket rieti
historicbuilding_left,"cathedral of christ the king, mullingar",historicbuilding_right,"christ the king cathedral, mullingar"
legislature_left,national assembly (mali),legislature_right,national assembly of mali
shoppingmall_left,enfield square,shoppingmall_right,enfield square mall
footballmatch_left,1876 scotland vs wales football match,footballmatch_right,1876 scotland v wales football match
motorsportseason_left,2011 world series by renault season,motorsportseason_right,2011 world series by renault
stadium_left,"eugene e. stone iii stadium (greenville, south carolina)",stadium_right,eugene e. stone iii stadium (greenville)
shoppingmall_left,cataraqui town centre,shoppingmall_right,cataraqui centre
motorsportseason_left,1980 imsa gt championship season,motorsportseason_right,1980 imsa gt championship
reptile_left,hawequa flat gecko,reptile_right,hawequa flat gecko
nationalfootballleagueseason_left,1912 canton bulldogs season,nationalfootballleagueseason_right,1912 canton professionals season
basketballteam_left,torpan pojat,basketballteam_right,helsinki seagulls
soccerleague_left,gambrinus liga,soccerleague_right,czech first league
race_left,meilen-trophy,race_right,grafenberger meilen-trophy
soccerleague_left,kent football league,soccerleague_right,southern counties east football league
basketballteam_left,bk valmiera,basketballteam_right,sk valmiera
artwork_left,the great day of girona,artwork_right,the great day of girona
naturalevent_left,1854 ansei-nankai earthquake,naturalevent_right,1854 nankai earthquake
hospital_left,"queen elizabeth hospital, hong kong",hospital_right,queen elizabeth hospital (hong kong)
tennistournament_left,2011 aegon classic,tennistournament_right,2011 aegon classic
tournament_left,2011 uefa european under-21 football championship,tournament_right,2011 uefa european under-21 championship
country_left,malacca sultanate,country_right,malacca sultanate
race_left,guineas prelude,race_right,caulfield guineas prelude
givenname_left,verity (given name),givenname_right,verity
motorsportseason_left,2013 eurocup formula renault 2.0 season,motorsportseason_right,2013 eurocup formula renault 2.0
artwork_left,madonna of the book (botticelli),artwork_right,madonna of the book
case_left,edmonson v. leesville concrete company,case_right,edmonson v. leesville concrete co.
wrestler_left,bill wiles,wrestler_right,billy wiles
sportfacility_left,king abdullah stadium,sportfacility_right,king abdullah ii stadium
soccerleague_left,professional indoor football league,soccerleague_right,professional indoor football league (1998)
hospital_left,ealing hospital nhs trust,hospital_right,ealing hospital
stadium_left,city stadium (podujevo),stadium_right,city stadium (besianã«)
ethnicgroup_left,cypriot american,ethnicgroup_right,cypriot americans
tournament_left,2001 uefa european under-18 football championship,tournament_right,2001 uefa european under-18 championship
memberofparliament_left,bob lane,memberofparliament_right,bob lane (canadian politician)
noble_left,"louis, prince of hohenlohe-langenburg",noble_right,"ludwig, prince of hohenlohe-langenburg"
reptile_left,common krait,reptile_right,common krait
amphibian_left,cheoah bald salamander,amphibian_right,cheoah bald salamander
rugbyleague_left,irb sevens world series,rugbyleague_right,world rugby sevens series
rugbyleague_left,caribbean women's sevens championship,rugbyleague_right,north america and caribbean women's sevens championship
motorsportseason_left,2011 formula renault 3.5 series season,motorsportseason_right,2011 formula renault 3.5 series
basketballteam_left,kk union olimpija,basketballteam_right,kk olimpija
governmentagency_left,puerto rico state commission on elections,governmentagency_right,state elections commission of puerto rico
historicbuilding_left,zagreb orthodox cathedral,historicbuilding_right,serbian orthodox cathedral in zagreb
naturalevent_left,"february 4, 1998 afghanistan earthquake",naturalevent_right,february 1998 afghanistan earthquake
tennistournament_left,2011 men's rimouski challenger,tennistournament_right,2011 challenger banque nationale de rimouski
device_left,2 inch medium mortar,device_right,2-inch medium mortar
governmentagency_left,new south wales department of aboriginal affairs,governmentagency_right,aboriginal affairs nsw
song_left,"going, going, gone (song)",song_right,"going, going, gone (bob dylan song)"
ethnicgroup_left,afro-dominican,ethnicgroup_right,afro-dominicans (dominican republic)
basketballteam_left,xanthi bc,basketballteam_right,xanthi b.c.
hospital_left,rogue regional medical center,hospital_right,rogue valley medical center
legislature_left,national assembly (malawi),legislature_right,national assembly of malawi
soccerleague_left,russian women's football championship,soccerleague_right,russian women's football championship
legislature_left,assembly of the community of municipalities of the autonomous province of kosovo and metohija,legislature_right,assembly of the community of serbian municipalities
unitofwork_left,terminiello v. chicago,unitofwork_right,terminiello v. city of chicago
amphibian_left,weller's salamander,amphibian_right,weller's salamander
railwayline_left,line 1 (naples metro),railwayline_right,line 1 (naples metro)
historicbuilding_left,"san agustin church, manila",historicbuilding_right,san agustin church (manila)
governmentagency_left,new south wales division of local government,governmentagency_right,office of local government (new south wales)
givenname_left,dalia (name),givenname_right,dalia (given name)
magazine_left,shokun,magazine_right,shokun!
case_left,"hurley v. irish-american gay, lesbian, and bisexual group of boston",case_right,"hurley v. irish-american gay, lesbian, & bisexual group of boston"
noble_left,charles juste de beauvau,noble_right,"charles juste de beauvau, prince of craon"
soccerleague_left,slovenian regional leagues,soccerleague_right,slovenian regional league
footballleagueseason_left,2001 mongolia premier league,footballleagueseason_right,2001 mongolian premier league
motorsportseason_left,2007 world touring car championship season,motorsportseason_right,2007 world touring car championship
motorsportseason_left,1988 imsa gt championship season,motorsportseason_right,1988 imsa gt championship
magazine_left,atari age,magazine_right,atari age (magazine)
clericaladministrativeregion_left,diocese of algoma,clericaladministrativeregion_right,anglican diocese of algoma
governmentagency_left,ministry of railways (pakistan),governmentagency_right,pakistan ministry of railways
